申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,TOEFL,GRE,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
University of Guelph,MLA,景观建筑,被拒,2015,Fall,2015-04-09,,,同济大学,环境艺术设计,84,有在EDSA实习的经历，成功混得一封推荐信，作品集一般，仅此而已,http://bbs.gter.net/forum.php?mod=viewthread&tid=1822186&extra=page%3D3%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
University of Connecticut,MS,Finance,AD无奖,2016,Fall,2016-03-09,,"Overall: 322, 
                    V:  /
                    Q:  /
                    AW:",211,投资学,3.65/4,两个实习，美赛酱油二等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1955858&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,MS,Chemical Engineering,被拒,2016,Fall,2016-03-08,"Overall: 104, 
                    R: 29 /
                    L: 23 /
                    S: 23 /
                    W: 29",,211 & 985,材料物理,89/100（后两年排名2/50）,两次校一奖，两次校优秀学生，一次潍柴社奖，校一级大创负责人。无paper，无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1955964&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,System Design Engineering,AD无奖,2016,Fall,2016-01-08,"Overall: 95, 
                    R: 27 /
                    L: 24 /
                    S: 22 /
                    W: 22","Overall: 317, 
                    V: 149 /
                    Q: 168 /
                    AW: 3",浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,SE,,一篇水论文二作,http://bbs.gter.net/forum.php?mod=viewthread&tid=1934190&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Manchester,MS,Mathematical Finance,offer,2016,Fall,2015-12-10,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto,MA,Financial Economics,被拒,2016,Fall,2016-02-29,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,MS,Quantitative Finance,被拒,2016,Fall,2016-02-02,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Imperial College London,MS,Mathematics with Finance,被拒,2016,Fall,2016-01-27,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Warwick,MS,Financial Mathematics,被拒,2016,Fall,2016-02-26,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Kings College London,MS,Financial Mathematics,被拒,2016,Fall,2015-11-22,,"V: 150 /
                    Q: 168 /
                    AW: 4.0",Indiana University Bloomington,"Mathematics, Economics","3.42/4,00",,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954540&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Concordia University,MA,Managerial Economics,AD小奖,2012,Fall,2012-03-15,,"Overall: 310, 
                    V:  /
                    Q:  /
                    AW: 4",211 & 985,金融工程,3.2,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1950212&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,Chemical Engineering,AD无奖,2016,Fall,2016-01-21,,"Overall: 312, 
                    V: 144 /
                    Q: 168 /
                    AW: 3.0",,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1943302&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MMOR,Operations Research,AD小奖,2016,Fall,2016-03-01,,"Overall: 333, 
                    V: 163 /
                    Q: 170 /
                    AW: 4.5",双非,,89/100,"实证论文*1
R, Python, CPP, MATLAB, VBA码代码经历若干
美国summer, 4.0
Big Name实习*3
数竞省奖*1",http://bbs.gter.net/forum.php?mod=viewthread&tid=1950272&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Georgia,mla,mla,AD无奖,2015,Fall,2015-02-19,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
Texas A&M University,mla,mla,offer,2015,Fall,2015-03-13,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
University of British Columbia,mla,mla,AD无奖,2015,Fall,2015-03-20,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
University of Illinois at Urbana-Champai,mla,mla,AD无奖,2015,Fall,2015-03-20,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
The University of Melbourne,mla,mla,AD无奖,2015,Fall,2015-01-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
Concordia University,MS,Marketing,AD无奖,2016,Fall,2016-02-26,"Overall: 96, 
                    R: 26 /
                    L: 26 /
                    S: 23 /
                    W: 21",,双非,会计,87%  排名年级前10,无论文 无牛推 实践经历一般 都不是大公司 参加学校的市销大赛 自己做小生意 但是相对有创意 文书原创后找老师指导润色 个人觉得文书写的很好 至少是把自己的经历很真实的转述 相对来说写的比较有特色 能申到也算是很意外。。。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1950842&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Victoria,MEd,"Education, International Cohort",AD无奖,2016,Fall,2016-02-27,"Overall: 96, 
                    R: 26 /
                    L: 26 /
                    S: 23 /
                    W: 21",,双非,会计,87%  排名年级前10,无论文 无牛推 实践经历一般 都不是大公司 参加学校的市销大赛 自己做小生意 但是相对有创意 文书原创后找老师指导润色 个人觉得文书写的很好 至少是把自己的经历很真实的转述 相对来说写的比较有特色 能申到也算是很意外。。。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1950842&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Chemistry,offer,2016,Fall,2016-01-28,"Overall: 92, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 316, 
                    V: 151 /
                    Q: 165 /
                    AW:",211 & 985,化学,3.74,一篇sci一作，if=6.3，一篇合作，还一篇一作在投，无牛推,http://bbs.gter.net/forum.php?mod=viewthread&tid=1945479&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo 滑铁卢大学,MS,Electrical and Computer Engineering,AD小奖,2016,Fall,2016-01-28,,,C9 中上游,,top 25%,无论文，无科研，做过几个水项目,http://bbs.gter.net/forum.php?mod=viewthread&tid=1943198&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto,PhD,Biostatistics,offer,2016,Fall,2016-02-02,,,SFU,Statistics+Minor Applied Math,3.75,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1943576&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Winnipeg,MS,Computer Science,AD小奖,2014,Fall,2014-04-15,,,国内其他高校,cs,79.9%,渣！,http://bbs.gter.net/forum.php?mod=viewthread&tid=1718216&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Chemistry,offer,2016,Fall,2016-02-09,,"Overall: 313, 
                    V:  /
                    Q:  /
                    AW:",,Chemistry,4.0/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944358&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Alberta,PhD,Chemistry,offer,2016,Fall,2016-01-22,,"Overall: 313, 
                    V:  /
                    Q:  /
                    AW:",,Chemistry,4.0/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944358&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MS,Chemistry,AD小奖,2016,Fall,2016-02-06,,"Overall: 313, 
                    V:  /
                    Q:  /
                    AW:",,Chemistry,4.0/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944358&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,system design engineering,offer,2016,Fall,2016-02-25,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,机械设计制造及其自动化,81,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1948450&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,MS,Systems Design Engineering,AD无奖,2014,Fall,2014-02-01,,"V: 无 /
                    Q:  /
                    AW:",国内其他高校,信息工程,86，排名10%左右,MENG无奖；SYDE感觉是把ECE的图像方向拿出来组成一个学院，所以图像、计算机视觉的课程有很多，门槛相对ECE较低，学ECE的可以考虑下；学校背景：985&211，无论文无牛推，一创业项目两专利，小奖小项目若干。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1699812&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McMaster University,PhD,Chemical Engineering,offer,2014,Fall,2013-12-13,,"V: 155+165+3.0 /
                    Q:  /
                    AW:",国内其他高校,轻化工程,,两篇一作IF2.5+3.5；一篇一作在审IF3；两篇三作IF2,http://bbs.gter.net/forum.php?mod=viewthread&tid=1691219&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Ohio State University,PhD,Agricultural Engineering,offer,2014,Fall,2013-12-13,,"V: 155+165+3.0 /
                    Q:  /
                    AW:",国内其他高校,轻化工程,,两篇一作IF2.5+3.5；一篇一作在审IF3；两篇三作IF2,http://bbs.gter.net/forum.php?mod=viewthread&tid=1691219&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,MBET,MBET,AD无奖,2016,Fall,2016-01-13,,,双非,英语言文学,78.5,后两年均分86,http://bbs.gter.net/forum.php?mod=viewthread&tid=1949474&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Alberta,BA,Computer Science,AD无奖,2015,Fall,2015-07-29,,,四川外国语大学,英语,86  4.12/5.5,"本科阶段校级奖学金二等奖三次，一等奖一次。

有一些网球，乒乓球比赛的奖... 

英语相关的竞赛有一些奖...

总之得的奖和申请的专业无关，应该没有什么用。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1867167&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Manitoba,BA,Computer Science,AD无奖,2015,Fall,2015-04-16,,,四川外国语大学,英语,86  4.12/5.5,"本科阶段校级奖学金二等奖三次，一等奖一次。

有一些网球，乒乓球比赛的奖... 

英语相关的竞赛有一些奖...

总之得的奖和申请的专业无关，应该没有什么用。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1867167&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Saskatchewan,BA,Computer Science,AD无奖,2015,Fall,2015-05-01,,,四川外国语大学,英语,86  4.12/5.5,"本科阶段校级奖学金二等奖三次，一等奖一次。

有一些网球，乒乓球比赛的奖... 

英语相关的竞赛有一些奖...

总之得的奖和申请的专业无关，应该没有什么用。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1867167&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,Systems Design Engineering,AD无奖,2016,Fall,2016-03-02,"Overall: 100, 
                    R: 25 /
                    L: 28 /
                    S: 23 /
                    W: 24","Overall: 324, 
                    V: 154 /
                    Q: 170 /
                    AW: 3.5",211 & 985,电子信息工程,3.24/4,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1950847&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Concordia University,其它,MA in educational technology,AD无奖,2014,Fall,2014-03-14,,,国内其他高校,法语,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1715370&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Statistics,被拒,2016,Fall,2016-02-11,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,MS,Biostatistics,被拒,2016,Fall,2016-02-27,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Manitoba,MS,Statistics,被拒,2016,Fall,2016-02-11,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Carleton University,MS,Statistics,被拒,2016,Fall,2016-02-18,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Windsor,PhD,Statistics,offer,2016,Fall,2016-02-23,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Alberta,PhD,Statistics,offer,2016,Fall,2016-03-03,,,211 & 985,信息与计算科学,76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953917&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,PhD,Electrical & Computer Engineering,offer,2016,Fall,2016-03-05,,"Overall: 317, 
                    V: 149 /
                    Q: 168 /
                    AW: 3.0",211 & 985,电气工程,92  ranking7/276,美赛M奖，中文水会议,http://bbs.gter.net/forum.php?mod=viewthread&tid=1954555&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Ottawa,MS,Computer Science,AD无奖,2016,Fall,2016-02-08,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23","Overall: 318, 
                    V: 152 /
                    Q: 167 /
                    AW: 3",,Computer Engineering,3.84/4.00 rank 2,3年工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944340&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Concordia University,MS,Computer Science,AD无奖,2016,Summer,2016-02-04,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23","Overall: 318, 
                    V: 152 /
                    Q: 167 /
                    AW: 3",,Computer Engineering,3.84/4.00 rank 2,3年工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944340&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Lakehead University,MS,Computer Science,被拒,2016,Fall,2016-01-29,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23","Overall: 318, 
                    V: 152 /
                    Q: 167 /
                    AW: 3",,Computer Engineering,3.84/4.00 rank 2,3年工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944340&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Georgia,mla,mla,AD无奖,2015,Fall,2015-02-19,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Texas A&M University,mla,mla,offer,2015,Fall,2015-03-13,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,mla,mla,AD无奖,2015,Fall,2015-03-20,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Illinois at Urbana-Champai,mla,mla,AD无奖,2015,Fall,2015-03-20,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Melbourne,mla,mla,AD无奖,2015,Fall,2015-01-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of California - Berkeley,mla,mla,被拒,2015,Fall,2015-03-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
Louisiana State University,mla,mla,被拒,2015,Fall,2015-03-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
Ohio State University,MS,mla,AD无奖,2015,Fall,2015-05-05,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823081&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991&page=2
University of California - Berkeley,mla,mla,被拒,2015,Fall,2015-03-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Louisiana State University,mla,mla,被拒,2015,Fall,2015-03-15,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Ohio State University,MS,mla,AD无奖,2015,Fall,2015-05-05,"Overall: 99, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 318, 
                    V:  /
                    Q:  /
                    AW:",双非,园林,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1823002&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McMaster University,Meng,Computer Science,AD无奖,2015,Fall,2015-03-31,,,211 & 985,自动化,3.2,两年相关工作经验，国内核心期刊水文一篇,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816871&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Queen’s University 女王大学,MS,Chemical Engineering 化学工程,offer,2016,Fall,2016-01-27,"Overall: 106, 
                    R: 29 /
                    L: 27 /
                    S: 22 /
                    W: 28","Overall: 324, 
                    V: 158 /
                    Q: 166 /
                    AW: 3.5",,自动化,北大算法3.76,"无论文无牛腿无实习 
一个大创项目研究方向比较match",http://bbs.gter.net/forum.php?mod=viewthread&tid=1942786&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Western University,BA,Computer Science,AD无奖,2016,Fall,2016-02-22,,,华中科技大学,光电信息工程,GPA2.8,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953878&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Concordia University,Meng,Electrical and Electronics Engineering,AD无奖,2016,Fall,2016-03-02,,,华中科技大学,光电信息工程,GPA2.8,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953878&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Windsor,MA,INTERNATIONAL ACCOUNTING & FINANCE,offer,2016,Fall,2016-03-01,,,双非,会计学,3.45,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1953865&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Saskatchewan,MS,Finance,offer,2016,Fall,2016-02-12,,"Overall: 320, 
                    V:  /
                    Q:  /
                    AW:",浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融,87,有论文，McMaster教授推荐信。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1944662&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,MS,Computer Science,AD无奖,2016,Fall,2016-03-01,,"Overall: 321, 
                    V: 151 /
                    Q: 170 /
                    AW: 3",华南理工大学,信息工程,3.82/4（89.2/100）3/51,实习+数模美赛M,http://bbs.gter.net/forum.php?mod=viewthread&tid=1950735&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,其它,MEd in Adult Learning and Education,AD无奖,2014,Fall,2014-04-15,,,国内其他高校,英语,87/3.7,"两年培训机构兼职、助教等教育相关水经验。两年国际公关正式工作经验。
无论文（除了毕业论文没写过论文），无牛推（推荐人为论文导师、大学任课老师和教育机构外教），无奖项（除了5次校内奖学金）。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1718147&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Victoria,其它,"MEd in Language and Literacy, International Cohort",AD无奖,2014,Fall,2014-03-07,,,国内其他高校,英语,87/3.7,"两年培训机构兼职、助教等教育相关水经验。两年国际公关正式工作经验。
无论文（除了毕业论文没写过论文），无牛推（推荐人为论文导师、大学任课老师和教育机构外教），无奖项（除了5次校内奖学金）。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1718147&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Simon Fraser University,其它,MEd in TEFSL,AD无奖,2014,Fall,2013-12-21,,,国内其他高校,英语,87/3.7,"两年培训机构兼职、助教等教育相关水经验。两年国际公关正式工作经验。
无论文（除了毕业论文没写过论文），无牛推（推荐人为论文导师、大学任课老师和教育机构外教），无奖项（除了5次校内奖学金）。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1718147&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,PhD,Statistics,offer,2016,Fall,2016-03-08,,,SFU,Statistics+Minor Applied Math,3.75,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1955331&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Biostatistics,offer,2016,Fall,2016-02-19,,,SFU,Statistics+Minor Applied Math,3.75,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1955331&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Oxford,PhD,Genomic Medicine and Statistics,被拒,2016,Fall,2016-02-03,,,SFU,Statistics+Minor Applied Math,3.75,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1955331&extra=page%3D4%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MA,Journalism,AD小奖,2016,Fall,2016-02-23,"Overall: 110, 
                    R: 29 /
                    L: 30 /
                    S: 26 /
                    W: 25",,211 & 985,,太低了大概70多分就没自己算。。,将近3年的新闻从业经验，有国外出差采访经历，可能比较加分。之前skype面过一轮，有一个entrance scholarship，不知道有没有其他的奖学金机会。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1948454&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Math,Computer Science,被拒,2016,Fall,2016-02-19,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23","Overall: 318, 
                    V: 152 /
                    Q: 167 /
                    AW: 3",,Computer Engineering,3.84/4.00 rank 2,3年工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1947012&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Statistics,offer,2016,Fall,2016-01-20,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,统计,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1937131&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,Chemical Engineering,AD无奖,2016,Fall,2016-01-19,,,211 & 985,化学,81/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1945668&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
HEC Montréal,MS,Logistics and Supply Chain Management,offer,2015,Fall,2015-04-06,,,双非,法语,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1855455&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Manitoba,MS,Logistics and Supply Chain Management,AD无奖,2015,Fall,2015-03-12,,"Overall: 320, 
                    V: 152 /
                    Q: 168 /
                    AW: 3",双非,物流管理,82.8,无牛推，无论文。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1810576&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McMaster University,Mfin,Finance,AD小奖,2016,Fall,2016-01-21,,"Overall: 322, 
                    V:  /
                    Q:  /
                    AW:",211,投资学,3.65/4,两个实习，美赛酱油二等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1942537&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MS,master of food and resources economics,offer,2016,Fall,2016-02-19,,,211 & 985,国际经济与贸易,3.11/4.0,upei 加拿大水本交流， 系主任推荐信，数学系教授推荐,http://bbs.gter.net/forum.php?mod=viewthread&tid=1947036&extra=page%3D5%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
